H,S,V,class
30,12,255,branco
30,10,255,branco
33,12,255,branco
34,14,255,branco
35,17,255,branco
35,17,255,branco
32,14,254,branco
30,12,253,branco
30,8,254,branco
30,8,255,branco
30,10,253,branco
30,10,255,branco
35,11,255,branco
40,12,255,branco
54,14,255,branco
58,18,255,branco
31,47,255,branco
31,36,255,branco
30,26,255,branco
30,17,255,branco
30,11,255,branco
30,12,255,branco
32,13,255,branco
34,14,255,branco
35,17,255,branco
35,17,255,branco
32,14,254,branco
32,14,254,branco
30,10,254,branco
30,10,254,branco
26,14,254,branco
26,14,255,branco
30,12,254,branco
35,12,255,branco
46,15,254,branco
53,18,255,branco
32,49,255,branco
32,39,255,branco
30,26,255,branco
32,20,255,branco
30,12,255,branco
35,13,255,branco
32,13,255,branco
34,14,255,branco
35,17,255,branco
35,19,255,branco
32,16,254,branco
32,14,254,branco
25,11,255,branco
25,11,255,branco
22,15,254,branco
28,14,255,branco
32,14,254,branco
34,14,254,branco
41,14,255,branco
50,20,255,branco
55,22,255,branco
29,49,255,branco
30,39,255,branco
30,31,255,branco
33,24,254,branco
30,16,255,branco
34,16,255,branco
32,13,255,branco
34,14,254,branco
35,17,255,branco
35,17,255,branco
32,16,254,branco
32,16,254,branco
26,15,255,branco
28,14,255,branco
26,15,252,branco
30,13,255,branco
32,14,253,branco
32,14,252,branco
32,14,255,branco
44,19,254,branco
51,21,255,branco
27,46,255,branco
29,40,252,branco
30,31,255,branco
33,27,255,branco
34,21,255,branco
35,17,255,branco
38,15,255,branco
38,15,255,branco
38,15,255,branco
35,17,255,branco
35,17,255,branco
32,18,254,branco
32,18,255,branco
35,17,253,branco
35,17,254,branco
32,16,254,branco
26,17,254,branco
26,17,255,branco
35,17,255,branco
47,19,255,branco
25,51,255,branco
28,44,253,branco
30,35,255,branco
31,31,254,branco
35,25,255,branco
35,19,255,branco
38,15,255,branco
39,14,255,branco
38,15,255,branco
34,14,254,branco
35,19,255,branco
33,21,255,branco
34,21,255,branco
35,19,254,branco
35,17,255,branco
32,16,254,branco
26,17,254,branco
26,17,255,branco
32,16,254,branco
45,16,255,branco
26,51,254,branco
28,44,254,branco
30,36,255,branco
31,31,255,branco
35,25,254,branco
35,19,255,branco
38,15,255,branco
39,14,255,branco
38,15,255,branco
34,14,254,branco
35,19,255,branco
33,21,255,branco
34,21,254,branco
34,16,255,branco
34,14,255,branco
28,16,255,branco
26,17,255,branco
26,17,255,branco
32,16,255,branco
41,17,255,branco
56,17,255,branco
27,49,255,branco
29,43,255,branco
30,38,254,branco
31,32,255,branco
33,27,255,branco
34,21,255,branco
37,17,255,branco
38,15,255,branco
36,14,255,branco
34,14,255,branco
35,19,255,branco
33,21,254,branco
33,21,253,branco
34,16,255,branco
34,14,255,branco
28,16,255,branco
26,17,255,branco
26,17,255,branco
32,16,255,branco
41,17,255,branco
51,19,255,branco
29,47,255,branco
29,45,255,branco
30,38,254,branco
31,32,255,branco
33,27,255,branco
34,21,255,branco
35,17,255,branco
34,14,255,branco
34,14,255,branco
34,14,255,branco
35,19,255,branco
33,21,254,branco
32,18,252,branco
35,17,255,branco
32,14,255,branco
30,13,255,branco
28,16,255,branco
28,16,255,branco
32,18,255,branco
39,19,255,branco
49,21,255,branco
29,45,254,branco
31,40,255,branco
31,34,254,branco
33,29,255,branco
33,22,254,branco
35,17,255,branco
34,14,255,branco
35,13,255,branco
34,14,254,branco
35,17,255,branco
32,18,253,branco
32,18,253,branco
35,17,255,branco
32,14,255,branco
30,13,255,branco
28,16,255,branco
26,17,255,branco
28,19,255,branco
38,20,255,branco
46,24,255,branco
55,28,255,branco
29,48,252,branco
30,41,255,branco
32,37,254,branco
33,31,254,branco
33,22,254,branco
32,18,254,branco
34,14,255,branco
35,13,255,branco
34,14,254,branco
35,17,254,branco
35,19,255,branco
33,18,255,branco
34,14,254,branco
30,12,254,branco
28,14,255,branco
26,17,255,branco
23,18,255,branco
28,19,254,branco
37,22,255,branco
46,24,255,branco
55,28,255,branco
31,48,251,branco
30,42,255,branco
32,39,253,branco
31,32,254,branco
33,24,254,branco
32,18,254,branco
32,14,255,branco
35,13,255,branco
34,14,254,branco
35,17,254,branco
35,19,255,branco
33,18,255,branco
34,14,255,branco
33,12,255,branco
28,14,255,branco
23,16,255,branco
22,19,255,branco
26,20,255,branco
34,21,254,branco
44,23,255,branco
51,28,252,branco
32,49,255,branco
32,45,254,branco
32,40,255,branco
31,34,254,branco
30,26,254,branco
33,21,255,branco
32,14,255,branco
30,12,253,branco
34,14,254,branco
35,17,255,branco
38,20,255,branco
37,17,254,branco
38,15,254,branco
35,13,255,branco
28,14,255,branco
23,16,255,branco
22,19,255,branco
26,20,255,branco
34,21,254,branco
42,23,255,branco
50,27,255,branco
56,31,255,branco
32,47,253,branco
31,42,255,branco
31,34,255,branco
30,26,254,branco
29,21,255,branco
32,14,255,branco
30,12,254,branco
34,14,254,branco
34,14,254,branco
37,17,255,branco
37,17,254,branco
38,15,254,branco
35,13,254,branco
32,14,254,branco
26,15,254,branco
22,19,255,branco
25,18,255,branco
32,18,253,branco
42,23,255,branco
48,26,254,branco
55,26,255,branco
34,51,255,branco
32,45,254,branco
31,36,255,branco
30,28,255,branco
30,20,255,branco
32,14,255,branco
30,12,254,branco
35,13,254,branco
34,14,254,branco
37,17,255,branco
42,18,255,branco
43,16,254,branco
39,14,255,branco
32,14,254,branco
26,15,253,branco
22,19,255,branco
25,18,255,branco
32,18,253,branco
41,21,255,branco
48,23,255,branco
56,21,255,branco
33,49,255,branco
32,45,253,branco
31,38,255,branco
30,28,255,branco
30,21,255,branco
30,15,255,branco
30,12,254,branco
35,13,255,branco
38,15,255,branco
41,17,255,branco
42,18,255,branco
43,16,255,branco
39,14,255,branco
32,14,254,branco
26,15,254,branco
25,18,255,branco
25,18,255,branco
28,19,254,branco
38,20,255,branco
48,23,255,branco
55,18,255,branco
61,26,253,branco
33,50,255,branco
32,47,253,branco
30,38,255,branco
31,31,255,branco
30,21,255,branco
30,15,255,branco
32,14,255,branco
35,13,255,branco
38,15,255,branco
41,17,255,branco
42,18,255,branco
46,17,255,branco
43,16,255,branco
34,14,254,branco
26,15,254,branco
25,18,255,branco
25,18,255,branco
26,17,255,branco
37,17,255,branco
48,20,253,branco
56,17,255,branco
64,23,255,branco
34,54,255,branco
34,48,254,branco
31,39,255,branco
31,31,255,branco
30,24,255,branco
32,18,255,branco
34,14,255,branco
35,13,254,branco
38,15,255,branco
42,15,255,branco
42,18,255,branco
46,17,255,branco
43,16,254,branco
34,14,253,branco
32,14,253,branco
25,18,255,branco
25,18,255,branco
26,17,255,branco
34,14,254,branco
46,17,255,branco
55,17,255,branco
66,21,254,branco
33,49,255,branco
32,43,255,branco
29,32,254,branco
30,24,255,branco
32,18,255,branco
34,14,255,branco
35,13,254,branco
38,15,255,branco
43,16,255,branco
43,18,255,branco
46,17,255,branco
43,16,254,branco
37,17,254,branco
32,16,254,branco
24,15,255,branco
24,15,255,branco
26,15,255,branco
34,14,255,branco
46,15,255,branco
58,15,255,branco
72,20,252,branco
75,22,255,branco
31,47,255,branco
31,42,254,branco
30,34,254,branco
30,24,254,branco
32,18,254,branco
34,14,254,branco
39,14,255,branco
39,14,255,branco
43,16,255,branco
42,18,255,branco
43,16,255,branco
43,16,255,branco
35,17,254,branco
32,16,254,branco
28,14,255,branco
26,15,255,branco
28,14,255,branco
32,13,255,branco
43,14,252,branco
55,13,255,branco
66,16,254,branco
72,22,255,branco
30,47,255,branco
29,46,251,branco
30,34,255,branco
33,27,255,branco
35,19,254,branco
38,15,255,branco
39,14,255,branco
37,13,255,branco
34,14,255,branco
34,14,255,branco
38,15,255,branco
34,14,254,branco
34,14,254,branco
32,14,255,branco
32,14,255,branco
32,14,255,branco
32,14,254,branco
34,14,254,branco
43,16,253,branco
44,15,255,branco
52,18,255,branco
58,16,255,branco
28,54,255,branco
28,47,252,branco
30,34,255,branco
33,27,255,branco
36,19,255,branco
42,15,255,branco
39,14,255,branco
37,13,255,branco
32,14,255,branco
32,14,255,branco
34,14,254,branco
34,14,254,branco
32,14,254,branco
32,14,254,branco
32,14,255,branco
32,14,255,branco
34,14,254,branco
38,15,255,branco
37,17,254,branco
44,19,255,branco
48,20,255,branco
51,19,255,branco
55,22,254,branco
27,47,254,branco
28,35,255,branco
30,26,254,branco
35,19,255,branco
38,15,255,branco
39,14,255,branco
37,13,255,branco
32,14,255,branco
32,14,254,branco
34,14,254,branco
34,14,254,branco
34,14,254,branco
34,14,254,branco
32,14,255,branco
32,14,255,branco
35,17,255,branco
37,17,255,branco
36,16,255,branco
44,19,254,branco
47,19,255,branco
51,19,255,branco
55,22,253,branco
27,47,255,branco
27,36,255,branco
30,26,254,branco
35,19,255,branco
39,14,255,branco
38,11,254,branco
38,11,254,branco
35,13,255,branco
34,14,254,branco
34,14,254,branco
34,14,254,branco
34,14,254,branco
34,14,254,branco
32,14,255,branco
32,14,255,branco
35,17,255,branco
35,17,255,branco
37,17,255,branco
44,19,253,branco
47,18,255,branco
51,19,255,branco
55,22,255,branco
25,46,255,branco
25,35,255,branco
28,25,255,branco
34,16,255,branco
39,14,255,branco
38,11,253,branco
38,11,254,branco
35,13,255,branco
34,14,254,branco
34,14,253,branco
37,17,254,branco
35,17,255,branco
35,17,255,branco
32,16,255,branco
32,16,255,branco
34,16,255,branco
35,17,255,branco
37,17,253,branco
42,18,254,branco
44,19,254,branco
50,20,255,branco
51,19,255,branco
23,49,255,branco
24,36,255,branco
25,26,255,branco
32,16,255,branco
39,14,255,branco
38,11,253,branco
38,11,254,branco
35,11,255,branco
35,13,254,branco
38,15,254,branco
37,17,254,branco
35,17,255,branco
35,17,255,branco
32,16,255,branco
32,16,255,branco
34,16,255,branco
35,17,255,branco
35,17,254,branco
39,16,255,branco
44,19,253,branco
50,20,254,branco
50,18,255,branco
55,22,255,branco
23,40,255,branco
27,28,255,branco
32,18,255,branco
39,14,255,branco
38,11,253,branco
38,11,254,branco
35,11,255,branco
35,13,254,branco
38,15,254,branco
37,17,254,branco
37,17,255,branco
37,17,255,branco
34,16,255,branco
34,16,255,branco
32,16,255,branco
34,16,255,branco
34,16,255,branco
34,15,255,branco
42,18,253,branco
48,20,255,branco
50,20,255,branco
55,22,255,branco
23,40,255,branco
26,31,255,branco
30,20,255,branco
38,15,254,branco
39,14,254,branco
45,12,255,branco
35,11,255,branco
35,13,254,branco
38,15,254,branco
37,17,254,branco
37,17,255,branco
37,17,255,branco
34,16,255,branco
34,16,255,branco
32,16,255,branco
32,16,255,branco
35,17,255,branco
36,16,255,branco
42,18,254,branco
43,18,255,branco
50,20,254,branco
51,20,255,branco
23,41,255,branco
27,32,255,branco
29,22,255,branco
37,17,254,branco
38,15,254,branco
42,13,255,branco
35,13,255,branco
35,13,253,branco
38,15,254,branco
42,18,255,branco
37,17,254,branco
37,17,254,branco
35,17,255,branco
32,16,255,branco
30,15,255,branco
30,15,255,branco
34,16,255,branco
37,17,255,branco
41,17,255,branco
44,19,255,branco
48,20,254,branco
50,20,255,branco
51,20,255,branco
26,43,255,branco
28,33,255,branco
32,26,255,branco
37,22,255,branco
37,17,254,branco
38,15,255,branco
34,14,254,branco
38,15,254,branco
37,17,254,branco
42,18,255,branco
37,17,254,branco
37,17,254,branco
32,16,255,branco
32,16,255,branco
32,16,255,branco
32,16,255,branco
32,16,255,branco
35,17,255,branco
37,17,255,branco
42,18,255,branco
44,19,254,branco
47,19,255,branco
50,20,255,branco
27,47,255,branco
28,38,255,branco
33,29,255,branco
37,23,255,branco
38,20,254,branco
37,17,253,branco
35,17,254,branco
37,17,255,branco
37,17,254,branco
42,18,254,branco
37,17,253,branco
37,17,254,branco
32,16,255,branco
32,16,255,branco
26,17,255,branco
32,16,253,branco
32,16,255,branco
35,17,255,branco
34,16,255,branco
36,16,255,branco
42,18,255,branco
44,19,255,branco
47,19,255,branco
31,40,254,branco
35,34,255,branco
36,28,255,branco
37,23,254,branco
37,22,254,branco
34,21,254,branco
35,19,255,branco
37,17,254,branco
42,18,254,branco
37,17,253,branco
37,17,255,branco
32,16,255,branco
32,16,255,branco
26,17,255,branco
26,17,253,branco
32,16,254,branco
32,16,254,branco
32,16,255,branco
34,16,255,branco
37,17,255,branco
42,18,255,branco
43,18,255,branco
53,18,255,branco
32,43,255,branco
35,38,254,branco
36,33,254,branco
37,26,255,branco
37,23,255,branco
35,23,255,branco
34,21,255,branco
38,20,255,branco
42,18,255,branco
37,17,254,branco
37,17,255,branco
32,16,255,branco
32,16,255,branco
26,17,255,branco
26,17,253,branco
26,17,255,branco
32,16,253,branco
32,14,254,branco
32,13,255,branco
38,15,255,branco
43,16,255,branco
43,16,255,branco
53,18,255,branco
32,47,254,branco
35,41,255,branco
36,34,254,branco
37,31,255,branco
36,25,255,branco
33,24,254,branco
35,23,254,branco
38,20,255,branco
42,18,255,branco
37,17,254,branco
37,17,255,branco
32,16,255,branco
32,16,255,branco
26,17,255,branco
26,17,253,branco
26,17,255,branco
26,17,253,branco
26,15,255,branco
32,14,255,branco
34,14,254,branco
38,15,255,branco
38,15,254,branco
53,16,255,branco
34,51,255,branco
36,42,255,branco
